platform,product_id,rating,comment,Quality,Price,Delivery,Service
tiki,99958075,5,"Chất lượng, mặc rất thích.",-1,-1,-1,-1
tiki,99958075,5,"Vải mặc thoáng, mát, co giãn tốt. Điểm trừ là vải giặt ra màu nhiều quá. Mặc 1 tháng cỡ 7 8 ngày gì đó mà ra màu nhạt hơn lúc mới mua.",-1,-1,-1,-1
tiki,99958075,5,đẹp,-1,-1,-1,-1
tiki,99958075,5,Cực kì tốt,-1,-1,-1,-1
tiki,99958075,5,"Đây không chỉ là cái quần, đây còn là kiệt tác. Kiểu dáng thể thao, mặc đi dã ngoại, tắm biển cũng khá hợp.",-1,-1,-1,-1
tiki,99958075,5,"Quá tuyệt vời shop, mua tặng B trai dịp sinh nhật, giao hàng nhanh trước 1 ngày sinh nhật cảm ơn tiki.Hộp quà còn to, đẹp. Anh ấy rất thích quần của shop còn chụp ảnh gửi. 5* cảm ơn shop nhiều ạ!",-1,-1,-1,-1
tiki,99958075,5,"Quần đẹp, nhận hàng rất hài lòng vì sản phẩm được đóng gói bọc túi cẩn thận. Chất liệu vải mát , co giãn tốt. Có luôn giao hàng 2h nhận luôn. 5* chắc chắn sẽ mua lại ^-^",-1,-1,-1,-1
tiki,99958075,5,"Quần vải co giãn tốt, Shop đóng gói rất cẩn thận. Lần đầu mua hàng tại shop nhưng cực kì hài lòng, mua cho ông xã 2 chiếc size XL rất vừa, chắc chắn sẽ tiếp tục ủng hộ Sop",-1,-1,-1,-1
tiki,99958075,5,"phải nói là đẹp, mặc thoải mái , tự tin khi đi ra ngoài, kiểu dáng trẻ, dễ phối mặc với đồ khác. Quân mặc mát rất thích, hàng Official lại là brand Việt nam, ủng hộ hàng Việt 5*",-1,-1,-1,-1
tiki,99958075,4,"Chất vải ổn nhưng giặt ra nước màu nhiều, đã giặt 3-4 lần",-1,-1,-1,-1
tiki,99958075,5,Đẹp,-1,-1,-1,-1
tiki,99958075,5,"Hàng thì xịn sò luôn, đường may rất chỉn chu, giá cả thì hợp lý, Tiki thì giao hàng lúc nào cũng tuyệt vời.",-1,-1,-1,-1
tiki,99958075,4,"Thoáng, đẹp, giá hơi cao so với chất lượng",-1,-1,-1,-1
tiki,99958075,5,"Mình đã mua đc 2 lần, nói chung quần rất mát, chắc chắn và co giãn tốt, mình mông to khó kiếm quần, quần này đáp ứng tốt với size mình mua.",-1,-1,-1,-1
tiki,99958075,5,Quần đóng hộp nhìn ổn vải okie chưa mặc khi vận động nên k rõ độ thấm hút sao,-1,-1,-1,-1
tiki,99958075,4,"Mẫu mã, kiểu dáng, giá cả sêm sêm với loại đã mua sử dụng. Tuy nhiên vải hơi mỏng hơn.",-1,-1,-1,-1
tiki,99958075,5,"Chất vải tốt, khá thoáng, độ co giãn hơi thấp so với mong đợi",-1,-1,-1,-1
tiki,99958075,4,"vải đẹp, tuy nhiên hơi chật bụng, ae nên mua hơn size",-1,-1,-1,-1
tiki,99958075,5,"Phom đẹp; vải mềm, mỏng; mặc dễ chịu",-1,-1,-1,-1
tiki,99958075,5,"Vải mỏng, mềm, phom đẹp",-1,-1,-1,-1
tiki,99958075,5,Ok chất liệu tốt. Mua lần 2,-1,-1,-1,-1
tiki,99958075,5,"Sản phẩm tốt, sẽ ủng hộ shop lâu dài.",-1,-1,-1,-1
tiki,99958075,5,"quần bạn mát lắm, mình mặc đi chơi hay đi thể thao khá là thoải mái, cho shop 5* nha.",-1,-1,-1,-1
tiki,99958075,5,Ok lắm,-1,-1,-1,-1
tiki,99958075,5,"mua sp 1 lần rồi, lần nay mua lại 2 cái luôn, sp vải tốt mát, thoải mái, mà giá lại rẻ nữa",-1,-1,-1,-1
tiki,99958075,5,Ok,-1,-1,-1,-1
tiki,99958075,5,Tốt,-1,-1,-1,-1
tiki,99958075,5,Qua tốt,-1,-1,-1,-1
tiki,99958075,5,Chât luong ko can phải noi tot lắm,-1,-1,-1,-1
tiki,99958075,5,"quần mặc rộng rãi thoải mái, chun co giãn tốt có dây buộc nên không bị tuột khi chạy. chơi thể thao, đá bank, đi chơi đều được á, nói chung là rất tiện",-1,-1,-1,-1
tiki,99958075,5,Chất lượng tốt,-1,-1,-1,-1
tiki,99958075,5,"Thoáng mát, dễ chịu. Thích hợp cho cả chơi thể thao và mặc ở nhà. Oke trong tầm giá.",-1,-1,-1,-1
tiki,99958075,5,Dùng ổn,-1,-1,-1,-1
tiki,99958075,5,"sản phẩm giống mô tả, giao hàng nhanh, rất vừa ý!",-1,-1,-1,-1
tiki,99958075,5,"Mặc thoáng mát, ít ra màu hơn màu đen",-1,-1,-1,-1
tiki,99958075,5,Ship nhanh đặt hôm trc hôm sau có  Hỗ trợ đổi trả nhanh,-1,-1,-1,-1
tiki,99958075,4,"Quần mát mẻ, đẹp. Cần thời gian sử dụng để đánh giá chất lượng.",-1,-1,-1,-1
tiki,99958075,5,"Đẹp, co giản thoải mái.",-1,-1,-1,-1
tiki,99958075,5,Ok tơt,-1,-1,-1,-1
tiki,99958075,5,Giao hàng rất là nhanh. Sản phẩm giống như mô tả. Có điều hơi rộng xíu. Cơ mà cũng hài lòng,-1,-1,-1,-1
tiki,99958075,5,"Đã từng mua 1 lần của shop màu đen, giờ lựa thêm màu Xanh Đen thay đổi. Lần này giao 2h siêu nhanh, ship cũng rất rẻ. ủng hộ hàng việt nam chính hãg !!!",-1,-1,-1,-1
tiki,99958075,5,"Vải đẹp, giao hàng nhanh",-1,-1,-1,-1
tiki,99958075,5,"Giao hàng nhanh, màu sắc như hình. Chất mát, nhẹ.",-1,-1,-1,-1
tiki,99958075,5,"vải đẹp, đóng hộp xịn sò. chồng nặng 74kg, cao 1m75, mặc size XL vừa in. cho shop 5 sao",-1,-1,-1,-1
tiki,99958075,5,Ship nhanh đổi trả nhanh  Chất lượng rất tốt,-1,-1,-1,-1
tiki,99958075,5,Chất liệu ok,-1,-1,-1,-1
tiki,99958075,5,5 sao,-1,-1,-1,-1
tiki,99958075,5,giao hàng nhanh chất lượng ok đẹp,-1,-1,-1,-1
tiki,99958075,5,"quần mặc mát, mình vận động thể thao nhiều thấy khá phù hợp. Dây kéo cũng tiện lợi.",-1,-1,-1,-1
tiki,99958075,5,"quần đẹp ạ, mặc mát, chất lượng tốt",-1,-1,-1,-1
tiki,99958075,5,Chất liệu mỏng nhẹ thoải mái.lưng quần ko có độ co giãn lắm nhìn bự ko ôm vô người á,-1,-1,-1,-1
tiki,99958075,4,Giao hàng nhanh Sp tạm chấp nhận được,-1,-1,-1,-1
tiki,99958075,4,Giao hàng nhanh Đóng gói sản phẩm đẹp,-1,-1,-1,-1
tiki,99958075,5,Vải đẹp. Sờ vào cảm giác mát tay.,-1,-1,-1,-1
tiki,99958075,5,"quần đẹp, mỏng nhẹ, mát, mặt thoải mái, giặt nhanh khô",-1,-1,-1,-1
tiki,99958075,5,"tiki giao hàng nhanh, vải quần mịn mát co dãn tốt rất đáng mua",-1,-1,-1,-1
tiki,99958075,5,"mát mẻ và sảng khoái, sẽ ủng hộ shop dài lâu",-1,-1,-1,-1
tiki,99958075,5,"Chất lượng thì được, giao hàng hơi trễ xíu, tiki đã gọi điện thông báo trước vì tình hình dịch bệnh. Hài lòng 4,95 / 5*.",-1,-1,-1,-1
tiki,99958075,5,"Vải mỏng nhưng đc cái mát, có túi khoá kéo để bỏ điện thoại. Giá tốt",-1,-1,-1,-1
tiki,99958075,5,"Thoáng, thoải mái, chất liệu nhìn chung tốt, đáng để mua.",-1,-1,-1,-1
tiki,99958075,4,"quần cũng được, nhưng mình ko thấy co giãn nhiều.",-1,-1,-1,-1
tiki,99958075,5,"chồng mình rất thích, thấy mặc hoài luôn",-1,-1,-1,-1
tiki,99958075,5,"chất lượng, kiểu dáng quần rất vừa ý mình, hi vọng shop đa dạng thêm màu để lựa thêm. Đóng gói kĩ, giao nhanh thật",-1,-1,-1,-1
tiki,99958075,4,Chất vải mát nhưng không có cạp chun quần nên mặc hơi rộng so với mình :))),-1,-1,-1,-1
tiki,99958075,5,"quần nhẹ, không nhăn, màu đẹp, có khóa ở 2 túi, nên mua",-1,-1,-1,-1
tiki,99958075,4,Chất lượng khá tốt so với giá thành,-1,-1,-1,-1
tiki,99958075,5,Oke,-1,-1,-1,-1
tiki,99958075,4,Ổn thắt lưng hơi cứng xíu OK tầm giá,-1,-1,-1,-1
tiki,99958075,4,"vải mỏng hơn mình nghĩ, giao hàng siêu tốc.",-1,-1,-1,-1
tiki,99958075,5,"vải mái, thoải mái",-1,-1,-1,-1
tiki,99958075,5,"Chất lượng tốt, mặc thoáng mát, giao hàng nhanh",-1,-1,-1,-1
tiki,99958075,5,"Đóng hộp siêu đẹp Giao hàng thần tốc, vừa nhận hàng nhưng chưa mặc thử, nếu tốt chắc chắn sẽ còn mua nhiều",-1,-1,-1,-1
tiki,99958075,5,"quần ok lắm, bận thoải mái sẽ ủng hộ shop nếu có nhu cầu tiếp.",-1,-1,-1,-1
tiki,99958075,5,5 sao nha,-1,-1,-1,-1
tiki,99958075,5,"Mua quần tặng bạn trai dịp sinh nhật, tiki giao nhanh, hộp đến nơi còn nguyên vẹn, rất hài lòng. Cảm ơn tiki và shop",-1,-1,-1,-1
tiki,99958075,5,"Đóng gói đẹp gọn gàng, Chất liệu vải mát , Hợp với ae thanh niên  Đáng để xuống tiền",-1,-1,-1,-1
tiki,99958075,5,"Sp nhìn đẹp, chất liệu thoải mái",-1,-1,-1,-1
tiki,99958075,5,Hài lòng về chất lượng sản phẩm. Nhưng nếu ai cao thì quần này sẽ hơi bị ngắn.,-1,-1,-1,-1
tiki,99958075,5,Chất vải tốt.,-1,-1,-1,-1
tiki,99958075,5,"mặc thử rồi shop, đẹp vừa size. mặc thoải mái, chun co giãn tốt, shop ra thêm mẫu quần mới mình sẽ ủng hộ.",-1,-1,-1,-1
tiki,99958075,4,Co giãn tốt. Chất vải ok.,-1,-1,-1,-1
tiki,99958075,5,"quần thoải mái thoáng mát, rất thích hợp hoạt động thể thao",-1,-1,-1,-1
tiki,99958075,5,ok,-1,-1,-1,-1
tiki,99958075,5,"Hàng VN chất lượng cao, có cái loại vải này hơi nóng. Đc cái co giãn tốt.",-1,-1,-1,-1
tiki,99958075,5,"Chất lượng thực sự tốt, giao nhanh, đúng mẫu mình đặt. mua tặng og xã, rất ưng ý cảm ơn shop rất nhiều.",-1,-1,-1,-1
tiki,99958075,5,"Tiki bán hàng chính hãng, giao hàng nhanh, ship thân thiện, ưng.",-1,-1,-1,-1
tiki,99958075,4,Sản phẩm đúng như quảng cáo,-1,-1,-1,-1
tiki,99958075,5,"Mặc khá thoải mái, chất lượng tốt.",-1,-1,-1,-1
tiki,99958075,4,"Hoi nhàu nhưng dùng đc, hợp giá tiền",-1,-1,-1,-1
tiki,99958075,5,"Tikinow 2h đặt cái 30 phút sau có liền, quá nhanh quá nguy hiểm. mua lần 3 của shop rồi rất hài lòng",-1,-1,-1,-1
tiki,99958075,5,tốt lắmmmmmmmm,-1,-1,-1,-1
tiki,99958075,5,quá đẹp,-1,-1,-1,-1
tiki,99958075,5,"Quần mát, mặc thoải mái…",-1,-1,-1,-1
tiki,99958075,5,"Nylon hơi mỏng, giao hàng nhanh",-1,-1,-1,-1
tiki,99958075,5,con mình ưng lắm. cảm knw shop,-1,-1,-1,-1
tiki,99958075,4,Hơi nhàu nhưng dùng đc,-1,-1,-1,-1
tiki,99958075,5,Thoáng mát,-1,-1,-1,-1
tiki,99958075,4,"bình thường, chỉ nhanh bung",-1,-1,-1,-1
tiki,99958075,5,"Hàng đẹp, chất lượng vải mát, nhìn xịn. Nhưng shop giao nhầm size rồi, giờ làm sao đây shop ơi.",-1,-1,-1,-1
tiki,99958075,5,nhận được quần shop ok lắm,-1,-1,-1,-1
tiki,99958075,5,"Đóng gói tốt, Chất liệu mát, mặc không bị nhăn. sẽ mua thêm vài chiếc để thay đổi :)",-1,-1,-1,-1
tiki,99958075,4,"quần khá đẹp, form chưa chuẩn lắm nhưng có thể do dáng ông xã mình chưa đẹp :D",-1,-1,-1,-1
tiki,99958075,5,Sản phẩm rất ổn. TikiNow giao hàng đúng hẹn,-1,-1,-1,-1
tiki,99958075,5,"Quần đẹp, đúng hàng, co giãn tốt.",-1,-1,-1,-1
tiki,99958075,5,Vừa đẹp nhẹ tiện,-1,-1,-1,-1
tiki,99958075,5,Tuyệt vời,-1,-1,-1,-1
tiki,99958075,5,"lần thứ 3 mua hàng của shop 5*, quần đẹp lắm shop mỗi tội lần này giao chậm mất 1 hôm.",-1,-1,-1,-1
tiki,99958075,4,đặt M giao XXL,-1,-1,-1,-1
tiki,99958075,5,"Hàng may kỹ, đóng gói sang trọng. Đáng để dùng thử.",-1,-1,-1,-1
tiki,99958075,5,"Chất lượng tốt như quảng cáo  , rất muốn ủng hộ hàng việt nam. tuyệt vời 5*",-1,-1,-1,-1
tiki,99958075,5,"Shop giao hàng nhanh, quần đẹp",-1,-1,-1,-1
tiki,99958075,5,"bán hàng có uy tín, sẽ ủng hộ",-1,-1,-1,-1
tiki,99958075,5,"chất liệu vải mịn, form chuẩn đẹp, mặc rất thích và thoải mái",-1,-1,-1,-1
tiki,99958075,4,Sp ok,-1,-1,-1,-1
tiki,99958075,5,"Quần may đẹp, chắc chắn, vải dày nhưng mặc lại mát. Giao hàng, đóng gói khá nhanh 5*",-1,-1,-1,-1
tiki,99958075,5,"quần mặc thoải mái, thoáng mát",-1,-1,-1,-1
tiki,99958075,5,Quần như mô tả,-1,-1,-1,-1
tiki,99958075,5,tốt,-1,-1,-1,-1
tiki,99958075,5,"Vải tốt, mặc mát, phù hợp đi tập gym or mặc nhà. giao hanh",-1,-1,-1,-1
tiki,99958075,5,chất lượng kém . do giá quá rẻ. quảng cáo hơi lố. chỉ may thì tuột ren bung hết.,-1,-1,-1,-1
tiki,99958075,5,"Hàng tốt,chất lượng",-1,-1,-1,-1
tiki,99958075,5,"Hàng rất đẹp và đúng hàng hiệu, mỗi quần có 1 hộp riêng chuẩn chất lượng cao",-1,-1,-1,-1
tiki,99958075,5,"sản phẩm tốt, mặc mát, co dãn tốt, cực kì hài lòng",-1,-1,-1,-1
tiki,99958075,4,không vừa. chất liệu quần gió thì đung mỏng,-1,-1,-1,-1
tiki,99958075,5,Giao hàng nhanh. Gói hàng cẩn thận. Mặc mát. Chắc chắn sẽ mua tiếp ^^,-1,-1,-1,-1
tiki,99958075,5,Hàng đẹp và mềm mại,-1,-1,-1,-1
tiki,99958075,5,"giao hàng nhanh , chất lượng cũng được",-1,-1,-1,-1
tiki,99958075,5,Sản phẩm tốt,-1,-1,-1,-1
tiki,99958075,5,"nhẹ, mát, ống quàn vừa. sử dụng thời gian xem sao",-1,-1,-1,-1
tiki,99958075,5,"Sản phẩm rất tốt, dầy dặn, thoáng mát, đi vừa vặn.",-1,-1,-1,-1
tiki,99958075,5,"quần mặc vừa đẹp, chất tốt thoải mái không quá bó.",-1,-1,-1,-1
tiki,99958075,4,"Quần mặc ok, có điều giặt ra màu nhiều quá",-1,-1,-1,-1
tiki,99958075,5,"Đáng giá tiền nhé mn, mặc thoải mái 😗",-1,-1,-1,-1
tiki,99958075,4,"SP đóng gói tốt, giao hàng nhanh, chất lượng OK nhưng túi quần hơi nông",-1,-1,-1,-1
tiki,99958075,4,Giao rất chậm,-1,-1,-1,-1
tiki,99958075,5,Vải mát và nhẹ. Chất oke. Phù hợp với giá tiền,-1,-1,-1,-1
tiki,99958075,4,Được,-1,-1,-1,-1
tiki,99958075,5,Giao hàng nhanh. Khá bất ngờ Sản phẩm đúng như quảng cáo,-1,-1,-1,-1
tiki,99958075,5,chất lượng ổn so với giá,-1,-1,-1,-1
tiki,99958075,4,Quần đẹp nhưng hơi mỏng,-1,-1,-1,-1
tiki,99958075,5,"Thoáng mát,ok",-1,-1,-1,-1
tiki,99958075,5,"Thoáng, mát",-1,-1,-1,-1
tiki,99958075,4,Quần vừa,-1,-1,-1,-1
tiki,99958075,5,Ok ban vua vai mat,-1,-1,-1,-1
tiki,99958075,5,"sản phẩm đẹp, chất liệu tốt, mặc thoáng mát, thoải mái.",-1,-1,-1,-1
tiki,99958075,4,Chất tạm ổn,-1,-1,-1,-1
tiki,99958075,5,Cũng được. Chất lượng tương đương giá,-1,-1,-1,-1
tiki,99958075,5,Quần đẹp co giãn tốt dễ sử dụng,-1,-1,-1,-1
tiki,99958075,5,"Đẹp, co dãn tốt",-1,-1,-1,-1
tiki,99958075,4,Sau khi nhận hàng thì đã lên kg rồi,-1,-1,-1,-1
tiki,99958075,5,"quân đẹp, mặc mát",-1,-1,-1,-1
tiki,99958075,5,sản phẩm ok,-1,-1,-1,-1
tiki,99958075,5,Sản  phẩm chất lượng gia hợp ly,-1,-1,-1,-1
tiki,99958075,5,"chất lượng tốt, hài lòng so với giá tiền.",-1,-1,-1,-1
tiki,99958075,5,Giao hàng nhanh và đồ chồng mình mặc rất mát!,-1,-1,-1,-1
tiki,99958075,5,chất lượng tốt với giá tiền,-1,-1,-1,-1
tiki,99958075,5,Quần mặc mát thoáng,-1,-1,-1,-1
tiki,99958075,4,Sp ok tor,-1,-1,-1,-1
tiki,99958075,5,"Thoáng mát, đóng gọi đẹp",-1,-1,-1,-1
tiki,99958075,5,"Mặc thoáng, giao nhanh.",-1,-1,-1,-1
tiki,99958075,5,chất lượng tốt so vs giá tiền,-1,-1,-1,-1
tiki,99958075,5,"Vải dày dặn, đang quần đẹp nha mọi người",-1,-1,-1,-1
tiki,99958075,5,good,-1,-1,-1,-1
tiki,99958075,4,"ok,rất ổn",-1,-1,-1,-1
tiki,99958075,5,Good,-1,-1,-1,-1
tiki,99958075,5,a,-1,-1,-1,-1
tiki,99958075,5,"Chất vải mặc thoải mái, mát",-1,-1,-1,-1
tiki,99958075,5,"Quần trong hộp mới keng, đẹp, vừa vặn",-1,-1,-1,-1
tiki,99958075,5,vải mềm thoáng. giặt là hết nhăn,-1,-1,-1,-1
tiki,99958075,5,Giao nhanh- chất lượng tuyệt vời 5*,-1,-1,-1,-1
tiki,99958075,5,mặc rất ok,-1,-1,-1,-1
tiki,99958075,5,Sp tốt,-1,-1,-1,-1
tiki,99958075,5,vải tốt,-1,-1,-1,-1
tiki,99958075,5,Chất lượng phải nói là cực tốt,-1,-1,-1,-1
tiki,99958075,5,10,-1,-1,-1,-1
tiki,99958075,4,mặc thấy ok,-1,-1,-1,-1
tiki,99958075,4,bình thường,-1,-1,-1,-1
tiki,99958075,5,tệ,-1,-1,-1,-1
tiki,99958075,5,"hài lòng, chất lượng tốt good!",-1,-1,-1,-1
tiki,99958075,5,y. trên,-1,-1,-1,-1
tiki,99958075,4,quần ok,-1,-1,-1,-1
tiki,99958075,5,Dùng tạm ổn,-1,-1,-1,-1
tiki,99958075,4,Bt,-1,-1,-1,-1
tiki,99958075,5,"Thoải mái, thoáng mát",-1,-1,-1,-1
tiki,99958075,5,quần mềm và mát,-1,-1,-1,-1
tiki,99958075,5,hang tot,-1,-1,-1,-1
tiki,99958075,5,Quá ưng luôn,-1,-1,-1,-1
tiki,99958075,5,quần tốt,-1,-1,-1,-1
tiki,99958075,4,Tạm,-1,-1,-1,-1
tiki,99958075,5,vải ok,-1,-1,-1,-1
tiki,99958075,5,OK tốt,-1,-1,-1,-1
tiki,42899542,5,"3XL cho nguoi cao 1.8m nặng 90kg tập gym nhưng áo rất ôm, tuy thun dày co giãn 4 chiều  Nói chung là ổn và đẹp, nếu có mua nên nâng lên 1size so se tuyet hơn",-1,-1,-1,-1
tiki,42899542,5,"Rất đáng nên mua nhé  Giao siêu nhanh, hộp tiki nhìn rất sang trọng,  bên trong còn có hộp nhỏ của shop luôn, nhìn chuyên nghiệp xứng đáng giá tiền. Chất 95% cotton sờ mát, mặc rất thoải mái dễ chịu.  Trước có mua của shop 3 chiếc quần rồi, lần này lần 2 cực kì hài lòng.",-1,-1,-1,-1
tiki,42899542,5,"Sản phẩm đáng tiền, như kì vọng. Shop cũng rất đầu tư cho nghiệm khách hàng, mình có đặt 1 chiếc áo cũng được đóng gói hộp đẹp, cưng.  Chất liệu cotton mát, mặc co giãn tốt, thấm hút mồ hôi khá tốt.  Chỉ thừa ít nhưng cũng có. Với mức giá này hoàn toàn chấp nhận được, giặt 1 thời gian rồi cảm nhận thêm về sản phẩm sau",-1,-1,-1,-1
tiki,42899542,5,chất liệu vải hơi nhiều nilon hay sao ấy nma độ co giãn tốt nha 😜😜,-1,-1,-1,-1
tiki,42899542,5,"5* Đặt 1 chiếc thôi cũng được 1 hộp đẹp, Brand khá ấn tượng trong việc đầu tư hính ảnh, tải nghiệm khách hàng.  Giao hàng thì quá nhanh quá nguy hiểm .. Sẽ trải nghiệm thêm vài sản phẩm khác của brand này.",-1,-1,-1,-1
tiki,42899542,5,"Tiki giao hàng nhanh. Sản phẩm ""Áo ba lỗ nam"" OK, chất vải được, như giới thiệu: Chất liệu Cotton tự nhiên Thấm hút mồ hôi, thoát ẩm, thoáng khí. Kiểu dáng slimfit co giãn 4 chiều, nam tính, khỏe khoắn. Tự hào sản xuất tại Việt Nam, Thương Hiệu Việ",-1,-1,-1,-1
tiki,42899542,5,"Áo cotton mềm, mặc đi tập thể thao chạy bộ hợp lí. khá thoải mái. Giá tiền so với chất lượng thấy xứng đáng. Giao hàng có trễ xíu nhưng nhân viên khá nhiệt tình nên tạm thời bỏ qua. Sẽ order thêm...",-1,-1,-1,-1
tiki,42899542,4,"Giao đúng màu , size, chất lượng vải ổn",-1,-1,-1,-1
tiki,42899542,5,"rất hài lòng vì dịch vụ của shop,",-1,-1,-1,-1
tiki,42899542,5,"Áo rất đẹp, chất lượng tốt, có logo thương hiệu uy tín, mình đánh giá rất cao từ đường may chỉ đến logo bao bì, cẩn thận chuyên nghiệp. mua rất xứng đáng, ủng hộ shop.",-1,-1,-1,-1
tiki,42899542,5,"vải đẹp chất lượng. Xem size theo hình này nha các bạn (càng nặng thì càng qua phải, càng cao thì càng lên trên)",-1,-1,-1,-1
tiki,42899542,5,"Giao nhanh, hộp đẹp, cực kì sang trọng. Shop hõ trợ tư vấn nhiệt tình thấy sự chuyên nghiệp tận tâm vì khách, 1 sự lựa chọn không tồi đối với khách hàng muốn hàng chất lượng.",-1,-1,-1,-1
tiki,42899542,5,"Đóng gói đẹp, áo thun co giãn tốt, áo mềm, mịn...",-1,-1,-1,-1
tiki,42899542,4,Lần 1 mình mua sz L theo hướng dẫn cách chọn size của người bán thì cảm giác áo hơi ngắn chút nên lần sau mua tăng một size thì mặc vừa hơn.,-1,-1,-1,-1
tiki,42899542,5,"Sản phẩm tốt, ôm sát người, mặc lót áo đồng phục hài lòng.",-1,-1,-1,-1
tiki,42899542,5,"Chất rất thích, đóng gói rất chuyên nghiệp",-1,-1,-1,-1
tiki,42899542,5,Ngon,-1,-1,-1,-1
tiki,42899542,4,"Hộp đựng đẹp, trông áo xịn. 95% cotton, 5% spandex nên sờ áo cảm tưởng hơi sột xoạt chứ ko mềm mại như cotton 100%",-1,-1,-1,-1
tiki,42899542,5,"Chất vải rất đẹp, form ôm sát, ai hơi mỡ như mình thì nên lên 1 size. Giao hàng cực kỳ nhanh",-1,-1,-1,-1
tiki,42899542,5,sản phẩm khá OK chất liệu vải dày dặn,-1,-1,-1,-1
